titles,genres
Orlando,"['Drama', 'Fantasy', 'Romance']"
Small Soldiers,"['Action', 'Adventure', 'Comedy']"
Lone Rider,['Western']
High Noon,"['Drama', 'Thriller', 'Western']"
Devil's Playground,"['Action', 'Horror']"
Detective K: Secret of Virtuous Widow,"['Action', 'Comedy', 'Crime']"
Fast & Furious 6,"['Action', 'Crime', 'Thriller']"
The Legend of Hercules,"['Action', 'Adventure', 'Fantasy']"
Brightness,"['Drama', 'Fantasy']"
Erased,"['Action', 'Thriller']"
Ghost,"['Drama', 'Fantasy', 'Mystery']"
Where Eagles Dare,"['Action', 'Adventure', 'War']"
The Horse Whisperer,"['Drama', 'Romance', 'Western']"
Stealing Rembrandt,"['Action', 'Comedy', 'Crime']"
Hancock,"['Action', 'Fantasy']"
Jack the Giant Slayer,"['Adventure', 'Fantasy']"
Spartacus,"['Action', 'Drama', 'History']"
Ong-bak,"['Action', 'Thriller']"
The Milagro Beanfield War,"['Comedy', 'Fantasy', 'Drama']"
Tracker,"['Action', 'Adventure', 'Drama']"
U.S. Marshals,"['Action', 'Crime', 'Thriller']"
Ong-bak 3,['Action']
The Island,"['Action', 'Adventure', 'Drama']"
xXx: State of the Union,"['Action', 'Adventure', 'Crime']"
Smokin' Aces,"['Action', 'Crime', 'Drama']"
Agency of Vengeance: Dark Rising,"['Action', 'Sci-Fi']"
Point Blank,"['Action', 'Crime', 'Thriller']"
The Slipper and the Rose: The Story of Cinderella,"['Adventure', 'Family', 'Fantasy']"
Tae Guk Gi: The Brotherhood of War,"['Action', 'Drama', 'War']"
Haywire,"['Action', 'Thriller']"
Four Brothers,"['Action', 'Crime', 'Drama']"
Antonio das Mortes,"['Action', 'Crime', 'Drama']"
Titanic,"['Action', 'Drama', 'History']"
The Chaperone,"['Action', 'Comedy', 'Family']"
Hot Shots! Part Deux,"['Action', 'Comedy']"
The Great Northfield Minnesota Raid,['Western']
The Sheepman,['Western']
Here Comes Mr. Jordan,"['Fantasy', 'Comedy', 'Romance']"
Flightplan,"['Action', 'Drama', 'Mystery']"
Gladiator,"['Action', 'Drama']"
Shootout at Lokhandwala,"['Action', 'Crime', 'Drama']"
Saints and Soldiers,"['Action', 'Adventure', 'Drama']"
Cowboy Bebop: The Movie,"['Animation', 'Action', 'Crime']"
The Expendables 2,"['Action', 'Adventure', 'Thriller']"
King Size,"['Adventure', 'Comedy', 'Fantasy']"
Blood Tea and Red String,"['Animation', 'Fantasy']"
Tommy Tricker and the Stamp Traveller,"['Adventure', 'Family', 'Fantasy']"
Furious 7,"['Action', 'Crime', 'Thriller']"
The Last Unicorn,"['Family', 'Animation', 'Fantasy']"
The Three Musketeers,"['Action', 'Adventure', 'Comedy']"
Cèdigo Paz,"['Action', 'Adventure', 'Crime']"
Mad Max 2: The Road Warrior,"['Action', 'Adventure', 'Sci-Fi']"
Horsehead,"['Fantasy', 'Horror']"
The City of Lost Children,"['Fantasy', 'Sci-Fi']"
Juice,"['Action', 'Crime', 'Drama']"
Hot Fuzz,"['Action', 'Comedy']"
"The Karate Kid, Part III","['Action', 'Drama', 'Family']"
John Carter,"['Action', 'Adventure', 'Fantasy']"
12 Dates of Christmas,"['Comedy', 'Fantasy', 'Romance']"
Black Rain,"['Action', 'Crime', 'Thriller']"
The Hobbit: The Battle of the Five Armies,"['Adventure', 'Fantasy']"
Free Ride,"['Action', 'Drama', 'Thriller']"
"Die Nibelungen, Teil 1 - Siegfried","['Adventure', 'Fantasy']"
Watchers,"['Action', 'Horror', 'Sci-Fi']"
Biteu,"['Action', 'Crime', 'Drama']"
Angel,"['Action', 'Crime', 'Thriller']"
King of Triads,"['Action', 'Thriller']"
Godzilla,"['Action', 'Sci-Fi', 'Thriller']"
Solomon Kane,"['Action', 'Adventure', 'Fantasy']"
Lethal Weapon 3,"['Action', 'Crime', 'Thriller']"
Macario,"['Drama', 'Fantasy', 'Mystery']"
The Jack Bull,"['Drama', 'Western']"
Takers,"['Action', 'Crime', 'Thriller']"
Clash of the Wolves,"['Adventure', 'Romance', 'Western']"
Amar Akbar Anthony,"['Action', 'Comedy', 'Drama']"
Willy Wonka & the Chocolate Factory,"['Family', 'Fantasy', 'Musical']"
Fireball,"['Action', 'Drama']"
Phantom of the Paradise,"['Comedy', 'Drama', 'Fantasy']"
Robin Hood,"['Action', 'Adventure', 'Drama']"
The Science of Sleep,"['Comedy', 'Drama', 'Fantasy']"
Sicario,"['Action', 'Crime', 'Drama']"
The Good Witch,"['Drama', 'Family', 'Fantasy']"
Mohra,"['Action', 'Drama', 'Thriller']"
The Perils of Pauline,['Action']
Pedro Pèramo,"['Drama', 'Fantasy', 'Horror']"
Quigley Down Under,"['Action', 'Adventure', 'Drama']"
The Spy Who Loved Me,"['Action', 'Adventure', 'Thriller']"
Turetskiy gambit,"['War', 'Action', 'Adventure']"
Varalaaru,"['Action', 'Drama', 'Musical']"
Nothing to Lose,"['Action', 'Adventure', 'Comedy']"
The Big Trail,"['Adventure', 'Western', 'Romance']"
Wer,"['Action', 'Horror', 'Mystery']"
Shanghai Noon,"['Action', 'Adventure', 'Comedy']"
Game of Assassins,"['Action', 'Adventure', 'Horror']"
The Monkey King,"['Animation', 'Family', 'Fantasy']"
The Silencers,"['Action', 'Adventure', 'Comedy']"
Easy Money,"['Action', 'Crime', 'Drama']"
Pleasantville,"['Comedy', 'Drama', 'Fantasy']"
SAGA: Curse of the Shadow,"['Action', 'Adventure', 'Fantasy']"
Perrier's Bounty,"['Action', 'Comedy', 'Crime']"
F/X,"['Action', 'Thriller']"
Boss,"['Action', 'Comedy', 'Drama']"
Aragami,"['Action', 'Fantasy', 'Horror']"
Death Wish II,"['Action', 'Crime', 'Drama']"
